spanish,english,POS,lemma,lemma_valid
dimensión,"dimension, size",NOUN,dimensión,True
división,division,NOUN,división,True
economía,"economy, economics, thriftiness",NOUN,economía,True
emoción,"emotion, excitement",NOUN,emoción,True
enseñanza,"teaching, instruction",NOUN,enseñanza,True
escala,"scale, ladder, rank",NOUN,escala,True
esencia,essence,NOUN,esencia,True
espera,wait,NOUN,espera,True
esquina,corner,NOUN,esquina,True
evolución,"evolution, development",NOUN,evolución,True
exigencia,"requirement, demand",NOUN,exigencia,True
exposición,"exhibition, display",NOUN,exposición,True
fama,"reputation, fame",NOUN,fama,True
felicidad,happiness,NOUN,felicidad,True
fila,"line, row, file",NOUN,fila,True
filosofía,philosophy,NOUN,filosofía,True
firma,"company, signature, signing",NOUN,firma,True
fórmula,formula,NOUN,fórmula,True
fortuna,"fortune, fate",NOUN,fortuna,True
fruta,fruit,NOUN,fruta,True
habilidad,"ability, skill, talent",NOUN,habilidad,True
habitación,"room, bedroom, habitat",NOUN,habitación,True
humanidad,"humanity, mankind",NOUN,humanidad,True
identidad,identity,NOUN,identidad,True
imaginación,"imagination, fantasy",NOUN,imaginación,True
independencia,independence,NOUN,independencia,True
industria,"industry, factory",NOUN,industria,True
infancia,"infancy, childhood",NOUN,infancia,True
iniciativa,initiative,NOUN,iniciativa,True
instrucción,instruction,NOUN,instrucción,True
intervención,intervention,NOUN,intervención,True
lección,lesson,NOUN,lección,True
llegada,arrival,NOUN,llegada,True
manifestación,"protest, manifestation",NOUN,manifestación,True
medicina,medicine,NOUN,medicina,True
mentira,lie,NOUN,mentira,True
mezcla,"mixture, blend",NOUN,mezcla,True
miseria,"misery, wretchedness",NOUN,miseria,True
moral,"morals, ethics (nf)",NOUN,moral,True
muestra,"proof, sample, sign",NOUN,muestra,True
nación,nation,NOUN,nación,True
novedad,"latest news, newness",NOUN,novedad,True
nube,cloud,NOUN,nube,True
observación,observation,NOUN,observación,True
oposición,opposition,NOUN,oposición,True
playa,"beach, seaside",NOUN,playa,True
pobreza,"poverty, lack, scarcity",NOUN,pobreza,True
poesía,"poetry, poem",NOUN,poesía,True
postura,"posture, position, attitude",NOUN,postura,True
potencia,"power, potential",NOUN,potencia,True
precisión,precision,NOUN,precisión,True
presentación,"presentation, introduction",NOUN,presentación,True
producción,production [also elaboración],NOUN,producción,True
protección,protection,NOUN,protección,True
provincia,"province, region",NOUN,provincia,True
rapidez,"speed, velocity [also velocidad]",NOUN,rapidez,True
raza,"race, lineage",NOUN,raza,True
red,"network, net, system",NOUN,red,True
reflexión,"reflection, thought",NOUN,reflexión,True
reserva,"reservation, reserve",NOUN,reserva,True
rosa,rose,NOUN,rosa,True
sección,"section, cut",NOUN,sección,True
sensibilidad,sensitivity,NOUN,sensibilidad,True
sesión,"session, meeting",NOUN,sesión,True
tabla,"chart, board, table, plank",NOUN,tabla,True
tela,"cloth, fabric",NOUN,tela,True
temperatura,temperature,NOUN,temperatura,True
temporada,"season, period, time",NOUN,temporada,True
tensión,"tension, stress, strain",NOUN,tensión,True
tienda,"shop, store, tent",NOUN,tienda,True
tragedia,tragedy,NOUN,tragedia,True
tranquilidad,"tranquility, peace",NOUN,tranquilidad,True
vacaciones,vacation,NOUN,vacación,True
versión,"version, account",NOUN,versión,True
víctima,"victim, casualty",NOUN,víctima,True
victoria,"victory, triumph",NOUN,victoria,True
vivienda,"housing, dwelling",NOUN,vivienda,True
vocación,"vocation, calling",NOUN,vocación,True
área,"area, zone (nf el)",NOUN,área,True
abril,abril,NOUN,abril,True
abuelo,grandfather,NOUN,abuelo,True
actor,actor,NOUN,actor,True
alrededor,"surrounding area, vicinity (nm)",NOUN,ChatGPT doesn't think this is a valid POS tag,False
ámbito,"sphere, space",NOUN,ámbito,True
aumento,"increase, rise",NOUN,aumento,True
automóvil,automobile,NOUN,automóvil,True
avance,"advance, progress&nbsp;[also adelanto]",NOUN,avance,True
baño,"bathroom, bath, swim",NOUN,baño,True
borde,edge,NOUN,borde,True
bosque,forest,NOUN,bosque,True
caballero,"gentleman, knight",NOUN,caballero,True
cálculo,"calculation, calculus",NOUN,cálculo,True
canal,"channel, canal",NOUN,canal,True
canto,"singing, chant",NOUN,canto,True
carro,"car, cart",NOUN,carro,True
castigo,"punishment, penalty",NOUN,castigo,True
cerebro,brain,NOUN,cerebro,True
clima,climate,NOUN,clima,True
comercio,"commerce, trade",NOUN,comercio,True
continente,continent,NOUN,continente,True
contrato,"contract, agreement",NOUN,contrato,True
crecimiento,"growth, increase",NOUN,crecimiento,True
crédito,"credit, reputation",NOUN,crédito,True
crimen,"crime, murder",NOUN,crimen,True
cuello,"neck, collar",NOUN,cuello,True
desastre,disaster,NOUN,desastre,True
descanso,"rest, interval, break",NOUN,descanso,True
descubrimiento,discovery,NOUN,descubrimiento,True
dibujo,"drawing, sketch",NOUN,dibujo,True
diente,"tooth, cog",NOUN,diente,True
disco,"disc, disk, record",NOUN,disco,True
dólar,dollar,NOUN,dólar,True
dominio,"power, control",NOUN,dominio,True
ensayo,"essay, rehearsal",NOUN,ensayo,True
entusiasmo,enthusiasm,NOUN,entusiasmo,True
escenario,"stage, setting, scene",NOUN,escenario,True
espejo,"mirror, reflection",NOUN,espejo,True
exterior,"exterior, outside (nm)",NOUN,exterior,True
extremo,extreme (adj),ADJ,extremo,True
factor,"factor, cause, influence",NOUN,factor,True
familiar,relative (nm),NOUN,No examples found,False
febrero,February,NOUN,febrero,True
funcionario,civil servant,NOUN,funcionario,True
género,"sort, gender, genre",NOUN,género,True
grito,"cry, shout, scream",NOUN,grito,True
hábito,habit,NOUN,hábito,True
hierro,iron,NOUN,hierro,True
hilo,"thread, yarn, wire",NOUN,hilo,True
hombro,shoulder,NOUN,hombro,True
hotel,hotel,NOUN,hotel,True
hueso,bone,NOUN,hueso,True
huevo,egg,NOUN,huevo,True
humor,"mood, humor",NOUN,humor,True
ideal,ideal (adj),ADJ,ideal,True
impulso,"impulse, momentum",NOUN,impulso,True
índice,"index, forefinger",NOUN,índice,True
informe,report,NOUN,informe,True
ingreso,"entrance, admission, income",NOUN,ingreso,True
jardín,garden,NOUN,jardín,True
julio,July,NOUN,julio,True
largo,length (nm),NOUN,ChatGPT doesn't think this is a valid POS tag,False
lector,"reader, lecturer",NOUN,lector,True
llamado,"call, calling",NOUN,llamado,True
local,"place, quarters (nm)",NOUN,local,True
lujo,luxury,NOUN,lujo,True
mal,evil (nm),NOUN,mal,True
mecanismo,mechanism,NOUN,mecanismo,True
mérito,"worth, merit",NOUN,mérito,True
militar,"soldier, military person (nm)",NOUN,militar,True
monte,mountain (nm),NOUN,monte,True
montón,"lot of, heap, pile",NOUN,montón,True
motor,"engine, motor",NOUN,motor,True
muchacho,boy [also chico],NOUN,muchacho,True
mueble,piece of furniture,NOUN,mueble,True
muro,"outer wall, rampart",NOUN,muro,True
octubre,October,NOUN,octubre,True
oficio,"job, occupation, function",NOUN,oficio,True
oído,"hearing, ear",NOUN,oído,True
olor,"smell, odor, fragrance",NOUN,olor,True
órgano,organ,NOUN,órgano,True
pago,payment,NOUN,pago,True
paisaje,landscape,NOUN,paisaje,True
pájaro,bird [also ave],NOUN,pájaro,True
palacio,palace,NOUN,palacio,True
parque,park,NOUN,parque,True
patio,"courtyard, playground, yard",NOUN,patio,True
patrón,"employer, landlord, patron saint, pattern",NOUN,patrón,True
pecho,"chest, breast<img src=""paste-81720342740993.jpg"" />",NOUN,pecho,True
permiso,"permission, permit",NOUN,permiso,True
y pico; pico,"and a bit :beak, peak",NOUN,Too many tokens,False
plato,"plate, dish",NOUN,plato,True
poema,poem,NOUN,poema,True
polvo,"dust, powder",NOUN,polvo,True
prestigio,prestige,NOUN,prestigio,True
primo,cousin,NOUN,primo,True
privilegio,privilege,NOUN,privilegio,True
procedimiento,"procedure, proceedings",NOUN,procedimiento,True
progreso,progress,NOUN,progreso,True
reconocimiento,"recognition, acknowledgment",NOUN,reconocimiento,True
reflejo,reflection (reflected image),NOUN,reflejo,True
regreso,return [also retorno],NOUN,regreso,True
reloj,"clock, watch",NOUN,reloj,True
revés; al revés; ,"backwards, upside down, inside out",NOUN,Too many tokens,False
sábado,Saturday,NOUN,sábado,True
sacerdote,priest,NOUN,sacerdote,True
sacrificio,sacrifice,NOUN,sacrificio,True
salón,"hall, room",NOUN,salón,True
secreto,secret (nm),NOUN,secreto,True
seno,"breast, bosom, cavity",NOUN,seno,True
sexo,sex,NOUN,sexo,True
significado,meaning,NOUN,significado,True
símbolo,symbol,NOUN,símbolo,True
sueldo,"salary, pay",NOUN,sueldo,True
sujeto,"fastened, subject to (adj)",ADJ,ChatGPT doesn't think this is a valid POS tag,False
testigo,witness,NOUN,testigo,True
tío,"uncle, guy",NOUN,tío,True
tiro,"throw, shot",NOUN,tiro,True
traje,"suit, dress, costume",NOUN,traje,True
transporte,"transportation, transport",NOUN,transporte,True
triunfo,"triumph, victory",NOUN,triunfo,True
vacío,"emptiness, void (nm)",NOUN,vacío,True
valle,valley,NOUN,valle,True
vecino,"nearby, neighboring (adj)",ADJ,vecino,True
vuelo,flight,NOUN,vuelo,True
zapato,shoe,NOUN,zapato,True
abogado,lawyer,NOUN,abogado,True
ingeniero,engineer,NOUN,ingeniero,True
ministro,"government secretary, minister",NOUN,ministro,True
soldado,soldier,NOUN,soldado,True
setenta,seventy,NUM,setenta,True
conmigo,with me,PRON,yo,True
ti,you (obj prep singular familiar),PRON,tú,True
aconsejar,"to advise, counsel",VERB,aconsejar,True
acostumbrar,to be accustomed to&nbsp;[also soler],VERB,acostumbrar,True
acusar,to accuse,VERB,acusar,True
adelantar,to move forward,VERB,adelantar,True
admirar,to admire,VERB,admirar,True
agotar,"to exhaust, wear out, run out",VERB,agotar,True
agradecer,to thank for,VERB,agradecer,True
agregar,"to add, gather",VERB,agregar,True
aguantar,"to endure, put up with",VERB,aguantar,True
ajustar,"to adjust, tighten",VERB,ajustar,True
alimentar,"to feed, support",VERB,alimentar,True
alterar,"to alter, modify",VERB,alterar,True
ampliar,"to enlarge, increase, expand",VERB,ampliar,True
apartar,"to move away, separate",VERB,apartar,True
aportar,"to provide, contribute",VERB,aportar,True
arrojar,"to throw (violently), to hurl [also lanzar]",VERB,arrojar,True
ascender,"to ascend, be promoted",VERB,ascender,True
asociar,to associate with,VERB,asociar,True
aspirar,"to aspire, want",VERB,aspirar,True
atribuir,to attribute,VERB,atribuir,True
averiguar,"to investigate, find out",VERB,averiguar,True
borrar,to erase,VERB,borrar,True
captar,"to capture, attract",VERB,captar,True
carecer,to lack,VERB,carecer,True
chocar,"to crash into, collide with",VERB,chocar,True
coger,"to hold, take, catch",VERB,coger,True
colaborar,"to collaborate, work together",VERB,colaborar,True
combatir,to fight against,VERB,combatir,True
completar,to complete,VERB,completar,True
complicar,"to complicate, make difficult",VERB,complicar,True
concebir,"to conceive, understand",VERB,concebir,True
confesar,"to confess, admit",VERB,confesar,True
constar,"to consist of, comprise",VERB,constar,True
consultar,to consult,VERB,consultar,True
corregir,"to correct, rectify",VERB,corregir,True
criar,"to bring up, rear",VERB,criar,True
criticar,to criticize,VERB,criticar,True
cultivar,"to cultivate, produce",VERB,cultivar,True
deber,"duty, obligation (nm)",NOUN,deber,True
denominar,"to call, name [also llamar]",VERB,denominar,True
depositar,"to deposit, place, store",VERB,depositar,True
derivar,"to derive, come from",VERB,derivar,True
descender,to descend,VERB,descender,True
desconocer,"to not know, not recognize",VERB,desconocer,True
despedir,"to dismiss, to say goodbye to",VERB,despedir,True
desplazar,"to replace, move, shift",VERB,desplazar,True
desprender,"to detach, release, remove",VERB,desprender,True
dictar,"to dictate, announce",VERB,dictar,True
disminuir,"to decrease, diminish",VERB,disminuir,True
distribuir,"to distribute, deliver",VERB,distribuir,True
doblar,"to bend, turn",VERB,doblar,True
elaborar,"to make, develop",VERB,elaborar,True
eliminar,"to eliminate, exclude",VERB,eliminar,True
emitir,"to emit, give off",VERB,emitir,True
empeñar,"to pawn, pledge, engage",VERB,empeñar,True
empujar,"to push, shove",VERB,empujar,True
encerrar,to shut in,VERB,encerrar,True
engañar,"to trick, deceive",VERB,engañar,True
enterar,to find out [se],VERB,enterar,True
esconder,"to hide, conceal",VERB,esconder,True
examinar,"to examine, inspect",VERB,examinar,True
explotar,"to explode, exploit",VERB,explotar,True
fallar,"to fail, miss",VERB,fallar,True
forzar,to force,VERB,forzar,True
gastar,to spend money,VERB,gastar,True
golpear,"to hit, strike",VERB,golpear,True
gritar,to shout,VERB,gritar,True
huir,"to flee, run away",VERB,huir,True
hundir,"to sink, submerge",VERB,hundir,True
implicar,"to implicate, imply",VERB,implicar,True
impulsar,"to push, promote, drive",VERB,impulsar,True
inclinar,"to bow, tilt, incline",VERB,inclinar,True
ingresar,"to join, deposit, admit",VERB,ingresar,True
invadir,"to invade, overcome",VERB,invadir,True
invertir,to invest,VERB,invertir,True
investigar,to investigate [also indagar],VERB,investigar,True
lavar,to wash,VERB,lavar,True
limpiar,to clean,VERB,limpiar,True
modificar,to modify,VERB,modificar,True
obedecer,to obey,VERB,obedecer,True
ocultar,to hide,VERB,ocultar,True
padecer,to suffer,VERB,padecer,True
parecer,"opinion, looks (nm)",NOUN,ChatGPT doesn't think this is a valid POS tag,False
pasear,"to go for a walk, ride",VERB,pasear,True
pelear,"to fight, struggle",VERB,pelear,True
penetrar,to penetrate,VERB,penetrar,True
percibir,to notice [also notar],VERB,percibir,True
perdonar,"to forgive, excuse",VERB,perdonar,True
precisar,"to do exactly, specify",VERB,precisar,True
prohibir,"to prohibit, forbid",VERB,prohibir,True
prometer,to promise,VERB,prometer,True
proporcionar,"to provide, supply",VERB,proporcionar,True
provenir,"to come from, be from",VERB,provenir,True
quejar,to complain,VERB,quejar,True
quemar,to burn,VERB,quemar,True
reaccionar,to react,VERB,reaccionar,True
reclamar,"to demand, require",VERB,reclamar,True
recomendar,to recommend,VERB,recomendar,True
recurrir,to resort to,VERB,recurrir,True
regalar,to give as a gift,VERB,regalar,True
registrar,"to register, record [also inscribir]",VERB,registrar,True
relacionar,to relate,VERB,relacionar,True
rendir,"to yield, to produce",VERB,rendir,True
renunciar,"to give up, renounce",VERB,renunciar,True
reproducir,"to reproduce, repeat",VERB,reproducir,True
respirar,to breathe,VERB,respirar,True
revelar,"to reveal, disclose",VERB,revelar,True
revisar,"to check, revise, inspect",VERB,revisar,True
saber,knowledge (nm),NOUN,ChatGPT doesn't think this is a valid POS tag,False
saludar,"to greet, say hello",VERB,saludar,True
satisfacer,to satisfy,VERB,satisfacer,True
sobrevivir,"to survive, outlive",VERB,sobrevivir,True
soñar,to dream,VERB,soñar,True
sospechar,"to suspect, suppose",VERB,sospechar,True
sumar,"to add up, amount to",VERB,sumar,True
suspender,"to suspend, hang, fail",VERB,suspender,True
sustituir,"to substitute, replace",VERB,sustituir,True
traducir,to translate,VERB,traducir,True
transcurrir,"to occur, pass",VERB,transcurrir,True
ubicar,"to find, locate",VERB,ubicar,True
abandonado,abandoned,ADJ,abandonado,True
absurdo,absurd,ADJ,absurdo,True
abundante,"abundant, plentiful",ADJ,abundante,True
académico,academic,ADJ,académico,True
adulto,"adult, grown-up (nm)",NOUN,adulto,True
agresivo,aggressive,ADJ,agresivo,True
agudo,"sharp, acute",ADJ,agudo,True
alegre,"happy, lively, cheerful",ADJ,alegre,True
amable,"kind, nice, friendly",ADJ,amable,True
anónimo,anonymous,ADJ,anónimo,True
apropiado,appropriate,ADJ,apropiado,True
árabe,Arab,ADJ,árabe,True
artificial,artificial,ADJ,artificial,True
atractivo,attractive (adj),ADJ,atractivo,True
básico,"basic, essential",ADJ,básico,True
caído,fallen,ADJ,caído,True
cansado,"tired, tiresome",ADJ,cansado,True
característico,characteristic,ADJ,característico,True
católico,Catholic,ADJ,católico,True
compuesto,"composite, mixed",ADJ,compuesto,True
comunista,Communist,ADJ,comunista,True
considerable,considerable,ADJ,considerable,True
creciente,"growing, increasing",ADJ,creciente,True
cruel,"cruel, harsh",ADJ,cruel,True
cuadrado,square,ADJ,cuadrado,True
culpable,guilty,ADJ,culpable,True
definido,definite,ADJ,definido,True
democrático,democratic,ADJ,democrático,True
desagradable,unpleasant,ADJ,desagradable,True
desarrollado,"developed, grown",ADJ,desarrollado,True
desesperado,"desperate, hopeless",ADJ,desesperado,True
desierto,desert (nm),NOUN,desierto,True
desnudo,"nude, naked",ADJ,desnudo,True
distante,"distant, far, remote",ADJ,distante,True
doloroso,painful,ADJ,doloroso,True
dramático,dramatic,ADJ,dramático,True
ejemplar,"copy, issue (nm)",NOUN,ejemplar,True
encerrado,locked up,ADJ,encerrado,True
envuelto,wrapped,ADJ,envuelto,True
equivocado,"mistaken, wrong",ADJ,equivocado,True
específico,specific,ADJ,específico,True
espontáneo,spontaneous,ADJ,espontáneo,True
estricto,"strict, rigorous",ADJ,estricto,True
excepcional,"exceptional, unusual",ADJ,excepcional,True
exclusivo,exclusive,ADJ,exclusivo,True
extenso,"extensive, large",ADJ,extenso,True
externo,"external, outward",ADJ,externo,True
fantástico,"fantastic, unreal",ADJ,fantástico,True
favorable,"favorable, suitable",ADJ,favorable,True
feo,"ugly, nasty, rude",ADJ,feo,True
formal,"formal, polite",ADJ,formal,True
fresco,"cool, healthy, fresh (adj)",ADJ,fresco,True
generoso,generous,ADJ,generoso,True
gordo,"fat, thick",ADJ,gordo,True
gris,"gray, gloomy",ADJ,gris,True
grueso,thick (adj),ADJ,grueso,True
humilde,"humble, modest",ADJ,humilde,True
idéntico,identical,ADJ,idéntico,True
impresionante,"impressive, astonishing",ADJ,impresionante,True
indígena,"indigenous, native",ADJ,indígén,True
industrial,industrial,ADJ,industrial,True
infinito,infinite (adj),ADJ,infinito,True
injusto,"unfair, unjust",ADJ,injusto,True
japonés,Japanese,ADJ,japonés,True
judío,Jewish,ADJ,judío,True
legal,legal,ADJ,legal,True
liberal,liberal,ADJ,liberal,True
masculino,"masculine, manly, male",ADJ,masculino,True
mero,mere,ADJ,mero,True
modesto,"modest, humble",ADJ,modesto,True
moreno,"dark, brown",ADJ,moreno,True
mutuo,mutual,ADJ,mutuo,True
obrero,"worker, laborer (nm/f)&nbsp;[also trabajador]",NOUN,obrero,True
occidental,"occidental, western",ADJ,occidental,True
oculto,"hidden, occult",ADJ,oculto,True
ordenado,"organized, clean",ADJ,ordenado,True
ordinario,"vulgar, ordinary",ADJ,ordinario,True
organizado,organized,ADJ,organizado,True
orgulloso,"proud, arrogant [also soberbio]",ADJ,orgulloso,True
parado,"stopped, standing",ADJ,parado,True
paralelo,parallel,ADJ,paralelo,True
pintado,painted,ADJ,pintado,True
poquito,little bit,ADJ,poquito,True
previsto,"foreseen, planned",ADJ,previsto,True
primitivo,primitive,ADJ,primitivo,True
prohibido,prohibited,ADJ,prohibido,True
querido,"dear, beloved",ADJ,querido,True
razonable,reasonable,ADJ,razonable,True
remoto,"remote, far-off",ADJ,remoto,True
repetido,repeated,ADJ,repetido,True
resuelto,"resolved, determined",ADJ,resuelto,True
rígido,"rigid, stiff, firm",ADJ,rígido,True
romántico,romantic,ADJ,romántico,True
ruso,Russian,ADJ,ruso,True
salvaje,"wild, savage, uncultivated",ADJ,salvaje,True
secundario,secondary,ADJ,secundario,True
sensible,"sensitive, sentient",ADJ,sensible,True
solitario,"solitary, lonely",ADJ,solitario,True
sorprendente,"surprising, astonishing",ADJ,sorprendente,True
sucesivo,"successive, following",ADJ,sucesivo,True
tonto,"stupid, dumb",ADJ,tonto,True
uniforme,uniform (nm),NOUN,uniforme,True
universitario,university (adj),ADJ,universitario,True
urbano,"urban, city, urbane",ADJ,urbano,True
urgente,urgent,ADJ,urgente,True
válido,valid,ADJ,válido,True
valioso,"valuable, precious",ADJ,valioso,True
variado,"varied, mixed",ADJ,variado,True
visible,visible,ADJ,visible,True
acá,"here, around here",ADV,acá,True
actualmente,"now, at present",ADV,actualmente,True
adentro [also dentro],inside,ADV,Too many tokens,False
aproximadamente,approximately,ADV,aproximadamente,True
necesariamente,necessarily,ADV,necesariamente,True
normalmente,normally,ADV,normalmente,True
plenamente,fully,ADV,plenamente,True
posteriormente,afterwards,ADV,posteriormente,True
principalmente,"principally, mainly",ADV,principalmente,True
repente; de + repente,suddenly,ADV,Too many tokens,False
sencillamente,simply,ADV,sencillamente,True
sumamente,"extremely, highly",ADV,sumamente,True
últimamente,"lately, recently",ADV,últimamente,True
ay,oh no! oh my!,INTJ,ay,True
etcétera,etcetera,NOUN,ChatGPT doesn't think this is a valid POS tag,False
colega,colleague,NOUN,colega,True
comerciante,"merchant, businessman",NOUN,comerciante,True
guía,"guide, leader",NOUN,guía,True
líder,leader,NOUN,líder,True
pariente,relative (nc),NOUN,pariente,True
abuela,grandmother,NOUN,abuela,True
actualidad,present time,NOUN,actualidad,True
administración,administration,NOUN,administración,True
admiración,admiration,NOUN,admiración,True
afirmación,"statement, assertion",NOUN,afirmación,True
ambición,ambition,NOUN,ambición,True
amenaza,threat,NOUN,amenaza,True
anécdota,anecdote,NOUN,anécdota,True
aplicación,application,NOUN,aplicación,True
asociación,association,NOUN,asociación,True
atmósfera,"atmosphere, environment",NOUN,atmósfera,True
banda,"musical band, sash",NOUN,banda,True
bandera,flag,NOUN,bandera,True
botella,"bottle, flask",NOUN,botella,True
broma,joke,NOUN,broma,True
calma,"calm, lull",NOUN,calma,True
camisa,shirt,NOUN,camisa,True
casualidad,"chance, coincidence",NOUN,casualidad,True
caza,hunting (game),NOUN,caza,True
ceremonia,ceremony,NOUN,ceremonia,True
cita,"appointment, date, quotation",NOUN,cita,True
civilización,civilization,NOUN,civilización,True
colaboración,collaboration,NOUN,colaboración,True
colonia,"colony, cologne",NOUN,colonia,True
combinación,combination,NOUN,combinación,True
comisión,"commission, committee",NOUN,comisión,True
comodidad,"comfort, convenience",NOUN,comodidad,True
compañera,female companion,NOUN,compañera,True
concepción,conception,NOUN,concepción,True
conferencia,"conference, lecture",NOUN,conferencia,True
consulta,"consultation, advice",NOUN,consulta,True
contradicción,contradiction,NOUN,contradicción,True
convicción,conviction,NOUN,convicción,True
copa,"cup, glass, top of a tree",NOUN,copa,True
copia,copy,NOUN,copia,True
creencia,belief,NOUN,creencia,True
criatura,"creature, child",NOUN,criatura,True
cuerda,"cord, rope",NOUN,cuerda,True
dama,"lady, dame",NOUN,dama,True
danza,dance,NOUN,danza,True
debilidad,weakness,NOUN,debilidad,True
década,decade,NOUN,década,True
desaparición,disappearance,NOUN,desaparición,True
destrucción,destruction,NOUN,destrucción,True
deuda,debt,NOUN,deuda,True
dignidad,dignity,NOUN,dignidad,True
distribución,distribution,NOUN,distribución,True
doña,"courtesy title (f), Mrs.",NOUN,doña,True
droga,drug,NOUN,droga,True
edición,"edition, publication",NOUN,edición,True
ejecución,"performance, execution",NOUN,ejecución,True
entrega,delivery,NOUN,entrega,True
escritura,"writing, scripture",NOUN,escritura,True
estancia,"stay, stance, ranch",NOUN,estancia,True
evidencia,"evidence, certainty",NOUN,evidencia,True
expectativa,"expectation, hope, prospect",NOUN,expectativa,True
explosión,explosion,NOUN,explosión,True
extensión,"extension, area, expanse",NOUN,extensión,True
fantasía,"fantasy, fancy",NOUN,fantasía,True
fase,"phase, stage",NOUN,fase,True
foto,"photo, picture",NOUN,foto,True
garantía,"guarantee, warranty",NOUN,garantía,True
gloria,"glory, fame",NOUN,gloria,True
herencia,"inheritance, legacy",NOUN,herencia,True
herida,"wound, injury",NOUN,herida,True
herramienta,tool,NOUN,herramienta,True
hipótesis,hypothesis,NOUN,hipótesis,True
huella,"trace, track, footstep",NOUN,huella,True
inclinación,"slope, incline, tendency",NOUN,inclinación,True
instalación,"installation, facilities",NOUN,instalación,True
instancia,"application, request",NOUN,instancia,True
intensidad,"intensity, force",NOUN,intensidad,True
inversión,"investment, outlay",NOUN,inversión,True
invitación,invitation,NOUN,invitación,True
jornada,"working day, shift",NOUN,jornada,True
lágrima,"tear, teardrop",NOUN,lágrima,True
lata,tin can,NOUN,lata,True
leyenda,legend,NOUN,leyenda,True
liberación,liberation,NOUN,liberación,True
limpieza,"cleanliness, purity",NOUN,limpieza,True
llave,"key, faucet, wrench",NOUN,llave,True
locura,"madness, insanity",NOUN,locura,True
lógica,logic,NOUN,lógica,True
luna,moon,NOUN,luna,True
madrugada,"dawn, daybreak [also alba]",NOUN,madrugada,True
mamá,mom,NOUN,mamá,True
mancha,"stain, spot",NOUN,mancha,True
maravilla,"wonder, marvel",NOUN,maravilla,True
media,average; a m.: halfways,NOUN,media,True
meta,"goal, aim, purpose",NOUN,meta,True
multitud,multitude,NOUN,multitud,True
nariz,nose,NOUN,nariz,True
nieve,snow,NOUN,nieve,True
ocupación,"occupation, use",NOUN,ocupación,True
oferta,"offer, bid, supply",NOUN,oferta,True
ola,"wave, billow",NOUN,ola,True
onda,"wave, ripple",NOUN,onda,True
opción,"option, choice",NOUN,opción,True
oreja,ear,NOUN,oreja,True
orilla,"shore, edge",NOUN,orilla,True
oscuridad,darkness,NOUN,oscuridad,True
paciencia,patience,NOUN,paciencia,True
pantalla,"screen, monitor",NOUN,pantalla,True
pata,"leg, paw",NOUN,pata,True
patria,"native land, fatherland",NOUN,patria,True
pelota,ball,NOUN,pelota,True
pensión,"pension, boarding house",NOUN,pensión,True
pista,"clue, track, trace",NOUN,pista,True
pluma,"pen, feather",NOUN,pluma,True
posesión,possession,NOUN,posesión,True
preparación,"preparation, training",NOUN,preparación,True
primavera,"spring, spring-like",NOUN,primavera,True
promesa,promise,NOUN,promesa,True
proporción,proportion,NOUN,proporción,True
propuesta,"proposal, proposition",NOUN,propuesta,True
protesta,"objection, protest",NOUN,protesta,True
reina,queen,NOUN,reina,True
risa,"laugh, chuckle",NOUN,risa,True
roca,rock,NOUN,roca,True
rodilla,knee,NOUN,rodilla,True
ruina,"ruin, collapse",NOUN,ruina,True
ruptura,"break-up, rupture",NOUN,ruptura,True
ruta,route,NOUN,ruta,True
selva,"forest, jungle",NOUN,selva,True
separación,separation,NOUN,separación,True
simpatía,"sympathy, affinity",NOUN,simpatía,True
soledad,"loneliness, solitude",NOUN,soledad,True
tarjeta,card,NOUN,tarjeta,True
tesis,"thesis, exposition",NOUN,tesis,True
tía,aunt,NOUN,tía,True
torre,tower,NOUN,torre,True
totalidad,"whole, totality",NOUN,totalidad,True
transformación,transformation,NOUN,transformación,True
tristeza,sadness,NOUN,tristeza,True
tropa,"troops, forces",NOUN,tropa,True
tumba,"tomb, grave",NOUN,tumba,True
unión,union,NOUN,unión,True
urgencia,urgency,NOUN,urgencia,True
vaca,cow,NOUN,vaca,True
variedad,variety,NOUN,variedad,True
vela,"candle, sail, vigil",NOUN,vela,True
vergüenza,embarrassment,NOUN,vergüenza,True
viuda,widow,NOUN,viuda,True
ala,"wing, flank",NOUN,ala,True
aceite,oil,NOUN,aceite,True
afán,"eagerness, zeal, effort",NOUN,afán,True
afecto,"affection, fondness",NOUN,afecto,True
alcohol,alcohol,NOUN,alcohol,True
almacén,"warehouse, store",NOUN,almacén,True
ángel,angel,NOUN,ángel,True
ángulo,angle,NOUN,ángulo,True
anuncio,"advertisement, announcement",NOUN,anuncio,True
apellido,last name,NOUN,apellido,True
arco,"arch, arc, bow",NOUN,arco,True
asiento,"seat, chair",NOUN,asiento,True
auto,"auto, car",NOUN,auto,True
ave,bird [also pájaro],NOUN,ave,True
azar,"random, chance, hazard",NOUN,azar,True
azúcar,sugar,NOUN,azúcar,True
baile,"dance, ball",NOUN,baile,True
bar,"snack bar, café",NOUN,bar,True
bienestar,"wellbeing, welfare",NOUN,bienestar,True
bloque,block,NOUN,bloque,True
bolsillo,pocket,NOUN,bolsillo,True
cadáver,"corpse, body",NOUN,cadáver,True
candidato,candidate,NOUN,candidato,True
caos,chaos,NOUN,caos,True
capitán,"captain, chief",NOUN,capitán,True
